tanh ,(64,), 1, 0.7731254639940609
tanh ,(64,), 2, 0.6019447445593455
relu ,(64,), 1, 0.7668639053254437
tanh ,(64,), 3, 0.5298449005169983
relu ,(64,), 2, 0.5818210020164418
relu ,(64,), 3, 0.5195049349835501
logistic ,(64,), 1, 0.7636847159636553
logistic ,(64,), 2, 0.5639313717879046
logistic ,(64,), 3, 0.5054049819833933
tanh ,(128, 64), 1, 0.7807589682774977
tanh ,(128, 64), 2, 0.5989032208233567
tanh ,(128, 64), 3, 0.5290615697947674
relu ,(128, 64), 1, 0.7737603305785123
relu ,(128, 64), 2, 0.5675425038639876
relu ,(128, 64), 3, 0.5002349992166693
tanh ,(256,), 1, 0.7789067714900244
tanh ,(256,), 2, 0.5872287469860776
tanh ,(256,), 3, 0.5309415635281216
relu ,(256,), 1, 0.7669773635153129
relu ,(256,), 2, 0.5828731430349225
relu ,(256,), 3, 0.5246749177502742
logistic ,(128, 64), 1, 0.714232349645125
logistic ,(128, 64), 2, 0.5249417249417249
logistic ,(128, 64), 3, 0.4693717687607708
logistic ,(256,), 1, 0.7516460753125694
logistic ,(256,), 2, 0.5494676303722702
logistic ,(256,), 3, 0.49240169199436
