Order, Accuracy, error, Training set
All,  80.94, 0.002 , Manual
2,  61.52, 0.02684756119609748 , Manual
1,  54.54, 0.006236432293185897 , Manual
0,  40.52, 0.038992958814377074 , Manual
0, 42.02, 0.01267804334765481 , Automatic
1,  44.77, 0.011475156015016712 , Automatic
2,  50.03, 0.014871258350644287 , Automatic
All, 68.38, 0.0051060052135891995 , Automatic
3,   ,   , Automatic
All 1, 82.08, 0.004875781313839339 , Manual
All 1, 68.7, 0.0051060052135891995 , Automatic
All 2, 83.18, 0.0034950613799273203 , Manual
All 2, 69.52, 0.005242691226757936 , Automatic
