Order, Mean, Std, Acuracy, error, Supervision
1,  9, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  7, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  11, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  3, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  13, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  15, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  5, 0.001, 42.45, 0.008715596551783339 , w/o
 1,  1, 0.001, 42.45, 0.008715596551783337 , w/o
 1,  9, 0.1, 42.47, 0.008950798850809722 , w/o
 1,  13, 0.1, 42.45, 0.008715596551783339 , w/o
 1,  3, 0.1, 42.41, 0.009255845204573888 , w/o
 1,  7, 0.1, 42.43, 0.008770513608788565 , w/o
 1,  1, 0.1, 42.55, 0.007415019562044162 , w/o
 1,  5, 0.1, 42.48, 0.008576151408495847 , w/o
 1,  15, 0.1, 42.47, 0.008950798850809722 , w/o
 1,  11, 0.1, 42.45, 0.008715596551783339 , w/o
 1,  13, 0.5, 42.5, 0.00799450636857192 , w/o
 1,  9, 0.5, 42.53, 0.008252004713559835 , w/o
 1,  5, 0.5, 42.49, 0.008402959607279178 , w/o
 1,  3, 0.5, 42.54, 0.007559013375188005 , w/o
 1,  7, 0.5, 42.42, 0.009691665973294825 , w/o
 1,  1, 0.5, 42.33, 0.013841075842061035 , w/o
 1,  13, 5, 42.07, 0.015304491065486852 , w/o
 1,  11, 0.5, 42.46, 0.008202209569684604 , w/o
 1,  15, 0.5, 42.44, 0.008692704707072074 , w/o
 1,  9, 5, 42.76, 0.007920304479990866 , w/o
 1,  5, 5, 42.02, 0.01267804334765481 , w/o
 1,  3, 5, 33.91, 0.16963373092983008 , w/o
 1,  11, 5, 42.14, 0.01226360217588763 , w/o
 1,  7, 5, 37.83, 0.10032701989138038 , w/o
 1,  9, 10, 42.4, 0.009994107017585876 , w/o
 1,  1, 5, 17.34, 0.19238941265288642 , w/o
 1,  15, 5, 42.56, 0.006610640944311275 , w/o
 1,  13, 10, 36.15, 0.1326333796456775 , w/o
 2,  9, 0.001, 52.82, 0.008616305403641134 , w/o
 2,  13, 0.001, 52.82, 0.008698228072082707 , w/o
 2,  9, 0.1, 52.84, 0.008464302444964428 , w/o
 1,  5, 10, 33.88, 0.16995498206796447 , w/o
 2,  13, 0.1, 52.81, 0.00868742448269921 , w/o
 1,  11, 10, 31.11, 0.1570076361828327 , w/o
 2,  11, 0.001, 52.83, 0.008634849966314112 , w/o
 2,  9, 0.5, 52.8, 0.009335601737497218 , w/o
 2,  5, 0.001, 52.82, 0.008649421605625636 , w/o
 2,  11, 0.1, 52.89, 0.009693948516032872 , w/o
 2,  11, 0.5, 52.94, 0.009597112250906672 , w/o
 2,  13, 0.5, 52.85, 0.008204931379628383 , w/o
 1,  1, 10, 9.21, 0.14920318162626256 , w/o
 1,  7, 10, 41.49, 0.013974645807247027 , w/o
 2,  11, 5, 53.33, 0.005981187135963488 , w/o
 1,  3, 10, 28.76, 0.15186660285670683 , w/o
 2,  9, 5, 52.78, 0.011002759548211706 , w/o
 2,  5, 0.1, 52.82, 0.008745752219103899 , w/o
 2,  1, 0.001, 52.83, 0.008561847437269352 , w/o
 2,  13, 5, 52.82, 0.008467655117647493 , w/o
 2,  11, 10, 44.58, 0.1358537699422324 , w/o
 2,  7, 0.001, 52.81, 0.008751292341603935 , w/o
 3,  11, 0.001, 58.12, 0.0072804572923080395 , w/o
 2,  3, 0.001, 52.82, 0.008731035029577668 , w/o
 2,  9, 10, 52.79, 0.010766042612996856 , w/o
 2,  1, 0.1, 52.75, 0.009393876575723202 , w/o
 3,  11, 0.1, 58.12, 0.007274942906232359 , w/o
 2,  5, 0.5, 52.77, 0.008730746088968091 , w/o
 3,  9, 0.001, 58.09, 0.006557321399740588 , w/o
 3,  11, 0.5, 58.09, 0.007260737357186361 , w/o
 2,  13, 10, 52.5, 0.011007231107232417 , w/o
 3,  9, 0.1, 58.09, 0.006345882426360302 , w/o
 3,  11, 5, 57.81, 0.00822538185324302 , w/o
 2,  7, 0.1, 52.86, 0.008334548971280543 , w/o
 1,  15, 10, 42.41, 0.010043621394305093 , w/o
 2,  3, 0.1, 52.8, 0.0085967491544244 , w/o
 3,  13, 0.001, 58.07, 0.006602452103463699 , w/o
 2,  1, 0.5, 52.68, 0.01177885844570032 , w/o
 3,  9, 0.5, 58.06, 0.0065171214239318175 , w/o
 3,  11, 10, 58.42, 0.0022968126521809087 , w/o
 4,  11, 0.001, 60.25, 0.007739030463617598 , w/o
 2,  5, 5, 44.77, 0.11475156015016712 , w/o
 3,  13, 0.1, 58.08, 0.006638553290294732 , w/o
 4,  11, 0.1, 60.23, 0.007503153583174601 , w/o
 3,  9, 5, 58.0, 0.008778965041708286 , w/o
 4,  11, 0.5, 60.32, 0.00837281663867456 , w/o
 3,  13, 0.5, 58.14, 0.006125350911891652 , w/o
 4,  11, 5, 60.16, 0.008549599765044045 , w/o
 3,  9, 10, 46.72, 0.15992899233699545 , w/o
 2,  7, 0.5, 52.86, 0.008836257309165648 , w/o
 4,  11, 10, 58.91, 0.032659282574976495 , w/o
 2,  3, 0.5, 52.85, 0.009103461925136056 , w/o
 3,  13, 5, 58.16, 0.005641406314097673 , w/o
 2,  15, 0.001, 52.83, 0.008540382236177962 , w/o
 4,  9, 0.001, 60.23, 0.006757621754103881 , w/o
 2,  1, 5, 37.79, 0.1928832714298481 , w/o
 2,  5, 10, 37.73, 0.20036425290610188 , w/o
 4,  9, 0.1, 60.25, 0.007009774534975138 , w/o
 5,  11, 0.5, 63.75, 0.006893369809705235 , w/o
 3,  13, 10, 58.24, 0.006659992367548016 , w/o
 4,  9, 0.5, 60.25, 0.0069700071289500445 , w/o
 4,  13, 0.001, 60.25, 0.007905158289055058 , w/o
 3,  5, 0.001, 58.09, 0.006571274248475905 , w/o
 4,  9, 5, 60.78, 0.013141055353755364 , w/o
 4,  13, 0.1, 60.26, 0.0075396365923240324 , w/o
 4,  13, 0.5, 60.23, 0.008382100840716942 , w/o
 4,  9, 10, 56.78, 0.07611444836846518 , w/o
 3,  5, 0.1, 58.08, 0.006589944675130397 , w/o
 2,  3, 5, 41.12, 0.2028632165129477 , w/o
 2,  7, 5, 53.01, 0.009398603776799406 , w/o
 3,  5, 0.5, 58.13, 0.006074611491826271 , w/o
 2,  15, 0.1, 52.84, 0.0085489899717688 , w/o
 2,  1, 10, 40.96, 0.20399891383092691 , w/o
 3,  5, 5, 50.03, 0.14871258350644287 , w/o
 3,  1, 0.001, 58.08, 0.006585575669777483 , w/o
 3,  5, 10, 48.11, 0.2109297049309949 , w/o
 2,  3, 10, 38.49, 0.19289100459127567 , w/o
 3,  1, 0.1, 58.08, 0.006459709539338437 , w/o
 3,  3, 0.001, 58.08, 0.006591567260211762 , w/o
 2,  7, 10, 34.84, 0.2234334597754678 , w/o
 2,  15, 0.5, 52.79, 0.009108606509726534 , w/o
 3,  1, 0.5, 58.3, 0.00852687887995847 , w/o
 3,  3, 0.1, 58.12, 0.006444308988717561 , w/o
 3,  7, 0.001, 58.07, 0.006551409705195169 , w/o
 3,  1, 5, 37.91, 0.20075064364525386 , w/o
 3,  3, 0.5, 58.06, 0.006065151591274123 , w/o
 3,  7, 0.1, 58.07, 0.006375683108270883 , w/o
 3,  7, 0.5, 58.06, 0.006818905724507441 , w/o
 3,  3, 5, 56.65, 0.011129712623923791 , w/o
 2,  15, 5, 52.74, 0.010252490445731097 , w/o
 3,  7, 5, 57.96, 0.007496695361248889 , w/o
 3,  7, 10, 38.25, 0.2128004039466899 , w/o
 3,  3, 10, 32.94, 0.2695208363129866 , w/o
 2,  15, 10, 50.33, 0.05226128232603592 , w/o
 3,  15, 0.001, 58.08, 0.006544873064881108 , w/o
 3,  1, 10, 11.17, 0.08427593100556674 , w/o
 3,  15, 0.1, 58.08, 0.006562963123946605 , w/o
 4,  7, 5, 60.2, 0.004932017876655169 , w/o
 4,  5, 0.5, 61.09, 0.008252420854992115 , w/o
 4,  1, 0.001, 60.43, 0.006252710050506521 , w/o
 4,  5, 5, 60.75, 0.0020698962118183006 , w/o
 4,  1, 0.1, 60.47, 0.008094512715606553 , w/o
 4,  7, 10, 42.59, 0.2157621365209816 , w/o
 3,  15, 0.5, 58.07, 0.0065528567142555845 , w/o
 4,  1, 0.5, 60.72, 0.014794239824373896 , w/o
 4,  5, 10, 60.19, 0.005570550079294689 , w/o
 4,  1, 5, 36.2, 0.21051576236871578 , w/o
 4,  1, 10, 57.74, 0.017340221330159455 , w/o
 3,  15, 5, 58.44, 0.01075125025029191 , w/o
 3,  15, 10, 57.9, 0.010270198017819377 , w/o
 All,  15, 0.1, 67.89, 0.006321716355247027 , w/o
 All,  11, 0.001, 67.48, 0.0 , w/o
 All,  11, 0.1, 67.5, 0.0 , w/o
 All,  15, 0.5, 68.09, 0.00696044150276249 , w/o
 All,  11, 0.5, 67.57, 0.0 , w/o
 All,  13, 0.001, 68.03, 0.007960101617130122 , w/o
 All,  15, 5, 68.01, 0.006256526033719456 , w/o
 All,  13, 0.1, 68.04, 0.008030365810497153 , w/o
 All,  11, 5, 67.5, 0.0 , w/o
 All,  15, 10, 68.15, 0.008698592270415787 , w/o
 All,  13, 0.5, 68.11, 0.008371658102940438 , w/o
 All,  11, 10, 67.25, 0.0 , w/o
 All,  13, 5, 67.7, 0.009164494633516707 , w/o
 All,  13, 10, 68.25, 0.009776941970281616 , w/o
 All,  9, 0.001, 68.09, 0.005140842943007038 , w/o
 All,  9, 0.1, 68.09, 0.0053167709195578805 , w/o
 All,  1, 0.001, 68.01, 0.007824587567591967 , w/o
 All,  9, 0.5, 68.11, 0.005534686165915826 , w/o
 All,  1, 0.1, 67.94, 0.0074832952751487936 , w/o
 All,  9, 5, 68.26, 0.00558619818275668 , w/o
 All,  1, 0.5, 67.89, 0.008517137354247861 , w/o
 All,  9, 10, 68.4, 0.0013146488186690718 , w/o
 All,  1, 5, 53.12, 0.13659041827442822 , w/o
 All,  1, 10, 37.33, 0.0010200050473429534 , w/o
 All,  7, 0.001, 68.04, 0.0 , w/o
 All,  7, 0.1, 67.96, 0.0 , w/o
 4,  , , , , w/o
 All,  7, 0.5, 67.87, 0.0 , w/o
 All,  7, 5, 68.9, 0.0 , w/o
 All,  7, 10, 68.42, 0.0 , w/o
 All,  3, 0.001, 68.03, 0.0 , w/o
 All,  3, 0.1, 67.96, 0.0 , w/o
 All,  3, 0.5, 67.77, 0.0 , w/o
 All,  3, 5, 66.23, 0.0 , w/o
 All,  3, 10, 38.26, 0.0 , w/o
 All,  5, 0.001, 68.79, 0.0 , w/o
 All,  5, 0.1, 68.87, 0.0 , w/o
 All,  5, 0.5, 68.49, 0.0 , w/o
 All,  5, 5, 68.38, 0.0 , w/o
 All,  5, 10, 69.32, 0.0 , w/o
